이름,종별,기능,구입가,상비화,해설
커넥션: UGN 간부,커넥션,<정보:UGN>,구입불가,1,정보에 밝은 UGN 간부. <정보:UGN> 판정의 다이스를 +2개 한다.
커넥션: 소문을 좋아하는 친구,커넥션,<정보:소문>,구입불가,1,소문을 잘 물어다 주는 친구. <정보:소문> 판정의 다이스를 +2개 한다.
커넥션: 경찰관,커넥션,<정보:경찰>,구입불가,1,내부에 발이 넓은 경찰관. <정보:경찰> 판정의 다이스를 +2개 한다.
커넥션: 연구자,커넥션,<정보:학문>,구입불가,1,박식함을 자랑하는 연구자. <정보:학문> 판정의 다이스를 +2개 한다.
커넥션: 정보상인,커넥션,<정보:암흑가>,구입불가,1,암흑가의 사정에 밝은 정보상인. <정보:암흑가> 판정의 다이스를 +2개 한다.
커넥션: 용병,커넥션,<정보:군사>,구입불가,1,군사정보를 모으고 있는 용병. <정보:군사> 판정의 다이스를 +2개 한다.
커넥션: 해커,커넥션,<정보:웹>,구입불가,1,방벽돌파의 전문가. <정보:웹> 판정의 다이스를 +2개 한다.
커넥션: 코퍼레이트,커넥션,<정보:비즈니스>,구입불가,1,경제계에 해박한 인물. <정보:비즈니스> 판정의 다이스를 +2개 한다.
커넥션: 매스미디어,커넥션,<정보:미디어>,구입불가,1,보도계를 잘 아는 정보통. <정보:미디어> 판정의 다이스를 +2개 한다.
커넥션: 수배꾼,커넥션,<조달>,구입불가,1,횡령한 물건 등을 취급하는 픽서. <조달> 판정의 다이스를 +3개 한다. 1시나리오에 1번 사용할 수 있다.
커넥션: VIP에게 받을 빚,커넥션,<정보:○○>,구입불가,1,정부기관이나 고급관료에게서 받아낼 빚. 임의의 <정보:○○> 판정에 사용한다. 그 판정의 다이스를 +3개 한다. 1시나리오에 1번 사용할 수 있다.
