이름,종별,구입가,휴대치,해설
캐주얼,기타,2,0,시내에서 쉽게 구할 수 있는 옷. 운동복 티셔츠 청바지 등.
휴대전화,기타,3,0,휴대전화. 심플한 것이든 기능이 많은 것이든 상관없다.
엑세서리,기타,3,0,선글라스 손목시계 반지 목걸이 등 소소한 장식품.
제복,기타,7,0,온갖 제복 및 유니폼. 대부분의 경우 조직에서 마련해주므로 상비화하는 것은 개인의 취미.
포멀,기타,5,0,고급 백화점이나 양복점에서 주문해서 만드는 점잖은 옷. 턱시도나 드레스 등.
웨폰 케이스,기타,18,1,UGN이 만든 아이템 케이스. 무기 방어구 중에서 하나를 선택한다. 선택한 무기나 방어구는 오토 액션으로 장비할 수 있다.
추억의 물건,기타,구입불가,2,유품으로 받은 라이터 선배의 두 번째 단추 등등. 당신이 <의지> 판정을 할 때 달성치를 +1 한다.
서치 레이더,기타,구입불가,2,전자파로 주위의 존재를 탐지하는 장치. 사이즈는 휴대전화 정도. 당신이 <지각> 판정을 할 때 달성치를 +1 한다.
전문서,기타,구입불가,2,어떤 분야의 지식에 대해 정리해놓은 전문서. 취득시 <지식:○○>에서 하나를 선택한다. 당신이 선택한 <지식:○○> 판정의 달성치를 +1 한다. '전문서:○○'과 같은 형식으로 적으며 <지식:○○>마다 다른 아이템으로 간주한다.
해독제,소모품,6,2,독을 없애주는 약. 메이저 액션에 사용하면 당신이 입은 사독을 회복한다.
모바일 PC,기타,8,2,휴대성이 뛰어난 PC. 잘 나가는 비즈니스맨의 필수 아이템. <정보:웹> 판정의 다이스를 +1개 한다.
응급처치 키트,소모품,8,3,구급상자. 메이저 액션으로 사용하면 당신의 HP를 2D10점 회복한다. 전투 중에는 사용할 수 없다.
암시 고글,기타,11,5,광량을 증폭시켜주는 고글. 어둠 속에서 판정할 때의 페널티를 무시할 수 있다.
안티 워딩 마스크,기타,15,5,오버드가 아니라도 소지하고 있으면 《워딩》의 효과를 무효화할 수 있다.
