이름,종별,기능,명중,공격력,가드치,사정거리,구입가,상비화
맨손,백병,<백병>,0,-5,0,지근,구입불가,-
너클더스터,백병,<백병>,0,1,0,지근,4,1
나이프,백병/사격,<백병><사격>,-1,2,0,지근/10m,6,2
신축성 경봉,백병,<백병>,0,2,0,지근,5,2
목검,백병,<백병>,-1,3,2,지근,5,3
일본도,백병,<백병>,-1,5,3,지근,11,5
서양검,백병,<백병>,-1,4,4,지근,11,5
체인톱,백병,<백병>,-5,6,3,지근,10,7
와이어 웝,백병,<백병>,-2,6,0,10m,12,8
거목/바위,백병,<백병>,-4,8,3,지근,11,8
특수 플라스틱 실드,백병,<백병>,-2,1,4,지근,9,4
두랄루민 실드,백병,<백병>,-3,2,6,지근,12,8
전자 실드,백병,<백병>,-2,2,8,지근,17,12
패리 실드,백병,<백병>,-3,0,2,지근,17,12
크로스보우,사격,<사격>,-2,2,-,40m,7,4
권총,사격,<사격>,-1,3,-,20m,10,6
대형권총,사격,<사격>,-2,5,-,20m,11,7
서브머신건,사격,<사격>,-1,8,-,20m,14,9
어설트 라이플,사격,<사격>,-1,9,-,100m,15,10
스나이퍼 라이플,사격,<사격>,0,11,-,200m,19,20
